session_id,experiment_container_id,targeted_structure,cre_line,imaging_depth,session_type,model,n_neurons,n_trials,n_classes,chance_level,mean_cv_accuracy,fold_accuracies,interpretation
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,126,598,8,0.125,0.5300700280112045,"0.5250,0.5750,0.5083,0.5294,0.5126",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,svm,126,598,8,0.125,0.47145658263305323,"0.4917,0.5083,0.4833,0.4034,0.4706",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,random_forest,126,598,8,0.125,0.6020588235294118,"0.5750,0.5833,0.6167,0.6471,0.5882",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,knn,126,598,8,0.125,0.33443977591036417,"0.2833,0.4083,0.3167,0.3361,0.3277",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,lda,126,598,8,0.125,0.5333473389355742,"0.5583,0.5833,0.5167,0.4790,0.5294",clearly above chance
504853580,511510723,VISal,Rorb-IRES2-Cre,275,three_session_A,mlp,126,598,8,0.125,0.5232773109243698,"0.5583,0.5750,0.5167,0.4790,0.4874",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,logistic_regression,240,598,8,0.125,0.6774929971988796,"0.6167,0.7000,0.5750,0.7227,0.7731",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,svm,240,598,8,0.125,0.6055042016806722,"0.5333,0.6333,0.5583,0.5966,0.7059",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,random_forest,240,598,8,0.125,0.767563025210084,"0.7667,0.7500,0.7833,0.7311,0.8067",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,knn,240,598,8,0.125,0.45148459383753503,"0.5167,0.4083,0.4417,0.4286,0.4622",clearly above chance
644026238,642651896,VISp,Rorb-IRES2-Cre,275,three_session_A,lda,240,598,8,0.125,0.5769187675070028,"0.5583,0.6417,0.5333,0.5294,0.6218",clearly above chance
